Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST?,STL,BLK,TOV,PF,PTS
37,Jordan Clarkson,SG,31,UTA,19,19,30.8,6.1,15.2,0.399,1.6,5.5,0.295,4.4,9.6,0.459,0.453,2.9,3.5,0.833,1.3,2.1,3.4,4.9,0.8,0.2,3,1.4,16.6
38,Jrue Holiday,PG,33,BOS,20,20,34.7,4.7,10.8,0.437,1.8,4.6,0.385,3,6.2,0.476,0.519,1.2,1.5,0.828,1.7,5.3,7,4.9,0.9,0.9,2.1,1.7,12.4
39,Tyus Jones,PG,27,WAS,22,22,26.8,4.8,9.5,0.507,1.1,3.2,0.343,3.7,6.3,0.59,0.565,0.6,0.8,0.765,0.3,2.6,2.9,4.9,1,0.2,0.7,0.8,11.3
40,Malik Monk,SG,25,SAC,22,0,25,4.8,10.9,0.438,2.7,6.2,0.431,2.1,4.7,0.447,0.56,2.5,2.7,0.9,0.5,2.1,2.7,4.9,0.7,0.4,2.3,1.7,14.7
41,Pascal Siakam,PF,29,TOR,23,23,34.4,7.9,15.9,0.497,0.8,3.7,0.212,7.1,12.2,0.584,0.522,4,5.4,0.75,1.6,5.2,6.8,4.9,0.9,0.2,2.5,2.3,20.7
42,Russell Westbrook,PG,35,LAC,23,10,25,4.6,10.3,0.443,0.7,2.5,0.276,3.9,7.8,0.497,0.477,1.6,2.5,0.621,1.6,4.9,6.4,4.9,1.1,0.5,2.4,2.2,11.4
43,Anthony Edwards,SG,22,MIN,19,19,33.5,8.5,18.7,0.452,2.4,6.3,0.378,6.1,12.5,0.489,0.515,5.1,5.8,0.865,0.7,4.9,5.6,4.8,1.2,0.5,3.1,1.8,24.4
44,Austin Reaves,SG,25,LAL,24,8,29.3,5,10.6,0.469,1.5,4.3,0.346,3.5,6.3,0.553,0.539,3,3.5,0.859,0.9,3.9,4.8,4.8,1,0.1,2.4,1.4,14.5
45,Gordon Hayward,SF,33,CHO,20,20,32.6,5.9,12.8,0.463,1,2.6,0.365,5,10.2,0.488,0.5,2.6,3.4,0.75,1.2,3.9,5,4.7,1.3,0.5,2,1.9,15.3
46,Zion Williamson,PF,23,NOP,20,20,31,9,15.4,0.584,0.1,0.3,0.333,8.9,15.1,0.589,0.588,4.8,7.3,0.658,1.9,3.7,5.6,4.7,1.1,0.3,2.7,2.5,22.9
47,Reggie Jackson,PG,33,DEN,25,14,26.4,5.4,10.9,0.5,1.8,4.3,0.411,3.7,6.6,0.558,0.581,1,1.5,0.703,0.4,2,2.3,4.6,0.7,0.3,1.6,2,13.7
48,Paolo Banchero,PF,21,ORL,23,23,33.6,7.6,15.5,0.49,1.2,3.1,0.389,6.4,12.4,0.516,0.529,4.3,6.2,0.685,1.4,5.4,6.8,4.5,1,0.6,3.2,2.3,20.7
49,Kyle Kuzma,PF,28,WAS,22,22,31.1,9,19,0.475,2.2,6.1,0.358,6.8,12.9,0.53,0.532,2.6,3.3,0.795,1,5,5.9,4.5,0.3,0.6,2.4,2,22.8
50,Coby White,PG,23,CHI,25,25,34.1,5.8,13,0.448,3.2,7.3,0.432,2.7,5.7,0.469,0.569,1.9,2.2,0.855,0.4,3.2,3.6,4.5,0.9,0.2,1.9,2.7,16.7
51,Stephen Curry,PG,35,GSW,21,21,33.7,8.9,19,0.468,5,12,0.422,3.9,7.1,0.544,0.6,6.3,6.7,0.936,0.7,4.4,5,4.4,0.8,0.2,3.4,1.7,29.1
52,Josh Giddey,SG,21,OKC,22,22,26,5,11.9,0.418,0.8,2.5,0.321,4.1,9.3,0.444,0.452,1,1.2,0.778,1.5,4.5,6,4.4,0.9,0.5,2.5,1.4,11.7
53,Killian Hayes,PG,22,DET,22,18,27,3.9,8.9,0.439,0.8,2.6,0.31,3.1,6.3,0.493,0.485,1.1,1.6,0.694,0.4,2.6,3,4.4,1.1,0.6,1,2,9.8
54,Jimmy Butler,PF,34,MIA,19,19,34.1,6.8,14.7,0.464,1,2.5,0.404,5.8,12.3,0.476,0.498,7.3,8.2,0.885,2,3.1,5.1,4.3,1.2,0.5,1.7,1.1,21.9
